cod_material,descripcion_material,consumo_diario_material,consumo_std_material,categoria_material,proveedor1,unidad,lead_time_dias,stock_seguridad,punto_reorden
000017,BUÑUELO,0.0,0.0,,,,2,0.0,0.0
000025,QUESADILLA HUILENSE,0.0,0.0,,,,2,0.0,0.0
000026,QUESILLO HUILENSE 250g,0.2903225806451613,1.5262928593402771,,,,2,3.55,4.13
000046,NATILLA PORCION,0.0,0.0,,,,2,0.0,0.0
000072,MIEL DE ABEJA NATURAL X 170GR,0.0,0.0,,,,2,0.0,0.0
000085,DULCE MANJAR MINI - 40gr,0.0,0.0,,,,2,0.0,0.0
000117,CHAMPUS PROMO 3X2,0.0,0.0,,,,2,0.0,0.0
000118,ARROZ CON LECHE PROMO 3X2,5.516129032258064,10.042811584219281,,,,2,23.36,34.39
001003,PALITO MEZCLADOR EN MADERA 11 CM UNIDAD,0.0,0.0,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,0.0,0.0
001004,VASOS CARTON 6 OZ UNIDAD,0.0,0.0,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,0.0,0.0
001005,LECHE EN POLVO EL RODEO GRAMOS,1.2580645161290323,7.004606779044223,MATERIA PRIMA,MISCELANEA Y DISTRIBUIDORA JS,Gramos,2,16.29,18.81
001012,PELÍCULA PLÁSTICA 30CM x 200 M METRO,0.00967741935483871,0.03962186862224293,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,Metros,2,0.09,0.11
001014,VASOS TRANSPARENTE 9 OZ UNIDAD,0.0,0.0,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,0.0,0.0
001016,TAPA PERFORADA - VASOS 9 - 12 UNIDAD,0.0,0.0,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,0.0,0.0
001017,CUCHARA GRANDE UNIDAD,4.774193548387097,3.5350776785734688,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,8.22,17.77
001019,PLATOS ICOPOR HONDOS 16 OZ UNIDAD,3.741935483870968,3.054698478688023,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,7.11,14.59
001021,"CUCHARITAS 7,5 CM UNIDAD",4.612903225806452,4.961572764867533,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,11.54,20.77
001023,SERVILLETA POPULAR UNIDAD,20.741935483870968,13.05348797782021,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,30.36,71.84
001025,BANDEJA ICOPOR #17 UNIDAD,1.032258064516129,1.779210891898277,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,4.14,6.2
001031,BOLSAS T-15 UNIDAD,3.073870967741936,2.7416505506602196,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,6.38,12.53
001032,BOLSAS T-19 UNIDAD,3.3580645161290326,2.4011507545834263,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,5.59,12.31
001033,BOLSAS T-20 UNIDAD,2.438709677419355,1.8976324241549787,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,4.41,9.29
001034,BOLSAS T-25 UNIDAD,2.0858064516129033,1.5810404903917117,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,3.68,7.85
001035,BOLSAS T-30 UNIDAD,0.9548387096774195,0.7070155357146938,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,1.64,3.55
001040,"BOLSA EMPAQUE PP 4x12x0,2"" UNIDAD",0.6451612903225806,1.7882531874333656,INSUMOS,CRISTAL GREEN,EA,2,4.16,5.45
001045,BOLSAS DE PAPEL 1/2 LIBRA UNIDAD,0.04838709677419355,0.19810934311121464,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,0.46,0.56
001046,BOLSA DE PAPEL 1 LIBRA UNIDAD,0.04838709677419355,0.19810934311121464,INSUMOS,MISCELANEA Y DISTRIBUIDORA JS,EA,2,0.46,0.56
001051,STICKER DELICIAS DEL HUILA 3x3 cm UNIDAD,5.096774193548387,5.260728924512676,INSUMOS,MEGA VISUAL,EA,2,12.24,22.43
001052,STICKER DELICIAS DEL HUILA 5x5cm UNIDAD,0.4516129032258063,0.8138584590688048,INSUMOS,MEGA VISUAL,EA,2,1.89,2.79
001059,AZÚCAR DE TUBITOS MANUELITA UNIDAD,0.0,0.0,MATERIA PRIMA,INVERSIONES Y SOLUCIONES ARISTIZABAL,EA,2,0.0,0.0
001069,ACHIRAS TRANSPARENTE GRAMOS,1.1612903225806452,3.1315254450352508,MATERIA PRIMA,LUIS FERNANDO CAICEDO,Gramos,2,7.28,9.6
001073,TOSTADO SIN TRANSFORMAR UNIDAD,3.96774193548387,8.315550919618868,MATERIA PRIMA,LUIS FERNANDO CAICEDO,EA,2,19.34,27.28
001074,GELATINA BLANCA SIN TRANSFORMAR UNIDAD,0.1612903225806451,0.373878250552983,MATERIA PRIMA,JANET BEJARANO,EA,2,0.87,1.19
001082,MANJAR BLANCO 450 gr SIN TRANSFORMAR UNIDAD,0.3225806451612903,0.6525384675349823,MATERIA PRIMA,CARLOS AUGUSTO MARIN,EA,2,1.52,2.17
001083,MANJAR BLANCO 220 gr SIN TRANSFORMAR UNIDAD,0.1612903225806451,0.4543694673976518,MATERIA PRIMA,CARLOS AUGUSTO MARIN,EA,2,1.06,1.38
001084,MANJAR BLANCO 120 gr SIN TRANSFORMAR UNIDAD,0.6129032258064516,1.333602123444588,MATERIA PRIMA,CARLOS AUGUSTO MARIN,EA,2,3.1,4.33
001090,ARROZ CON LECHE 4 OZ SIN TRANSFORMAR UNIDAD,3.6774193548387095,4.734226782253512,MATERIA PRIMA,TAMARA CEBALLOS,EA,2,11.01,18.36
001099,BUÑUELO SIN TRANSFORMAR UNIDAD,0.0967741935483871,0.3962186862224293,MATERIA PRIMA,CARLOS TORO,EA,2,0.92,1.11
001104,BANDEJA NATILLA PORCIONADA X30 UNIDAD,1.8064516129032255,6.640378276567832,MATERIA PRIMA,MILTON SAAVEDRA,EA,2,15.45,19.06
001106,QUESILLO SIN TRANSFORMAR,0.5806451612903226,3.0525857186805543,MATERIA PRIMA,MARTA SAENZ,EA,2,7.1,8.26
001107,QUESADILLA SIN TRANSFORMAR,0.0,0.0,MATERIA PRIMA,MARTA SAENZ,EA,2,0.0,0.0
001108,SOPORTE NEGRO VASO ,0.0,0.0,INSUMOS,BONNIPLAST,EA,2,0.0,0.0
001113,CHAMPUS SIN TRANSFORMAR,0.0,0.0,MATERIA PRIMA,ALBA LEAL,EA,2,0.0,0.0
001115,PAPELETA AROMATICA,0.0,0.0,MATERIA PRIMA,LA MONTAÑA,EA,2,0.0,0.0
001116,NATILLA PLATO 16oz SIN TRANSFORMAR,0.1290322580645161,0.5622535302317492,MATERIA PRIMA,MILTON SAAVEDRA,EA,2,1.31,1.57
