articulo_norm,cod_producto,match_name,score
ACHIRAX9 MANO 38G,000067,ACHIRA UNI ,0.593
ACHIRA X20 MANO 95G,000004,ACHIRAS ARTESANALES - 95gr,0.605
ACHIRA XMAKINA 190G,000007,ACHIRAS ARTESANALES - 190gr,0.682
ACHIRAXMAKINA 310G,000008,ACHIRAS ARTESANALES - 310gr,0.651
ACHIRAX40 MANO 190G,000007,ACHIRAS ARTESANALES - 190gr,0.636
ACHIRAX70 MANO 310G,000008,ACHIRAS ARTESANALES - 310gr,0.636
TOSTADO X12 UND,000009,TOSTADO - 12 Und,0.966
TOSTADO X4 UND,000010,TOSTADO - 4 Und,0.963
CUARESMERO GR,000011,CUARESMERO - 7 Und,0.759
PROMO QUESILLO X2,000012,PROMO QUESILLO 2X3,0.914
ALMOJABANAS,000013,ALMOJABANAS HUILENSES,0.688
PANDEBONO,000014,PANDEBONO DE MAÍZ,0.692
MARIQUITE O,000015,PAN MARIQUITEÑO,0.846
BISCOCHUELO PQ,000016,BIZCOCHUELO HUILENSE,0.647
BUNUELO,000017,BUÑUELO,0.857
PAN ACHIRA,000067,ACHIRA UNI ,0.6
CUCASX4 GR,000019,CUCAS - 4 Und,0.667
ARROZ CON LECHE,000020,ARROZ CON LECHE 4oz,0.882
PROMO PANDEBONO,000021,PROMO PANDEBONO 2x3,0.882
MEDIO QUESILLO,000022,MEDIO QUESILLO,1.0
GELATINAX5 GR,000045,GELATINA UNI,0.72
CUCA UNI,000024,CUCA UNI,1.0
QUESADILLA,000025,QUESADILLA HUILENSE,0.69
QUESILLOS 250G,000026,QUESILLO HUILENSE 250g,0.778
AGUA 250 ML H2O,000041,AGUA 600 ml con gas,0.647
HIT 300ML,000124,JUGO HIT MORA 300ml,0.643
COCACOLA 250 ML,000029,COCACOLA 250 ml,1.0
AGUA 600 ML,000127,AGUA BRISA 600ml,0.741
PROMO QUESADILLA,000031,PROMO QUESADILLA 3X2,0.889
POSTOBON 300 OZ,000129,UVA POSTOBON 400 ml,0.706
POSTOBON 400ML,000129,UVA POSTOBON 400 ml,0.848
COCACOLA 400 ML,000034,COCACOLA 400 ml,1.0
COCACOLA 500 ML,000029,COCACOLA 250 ml,0.933
TAMAL TOLIMENSE,000036,TAMAL TOLIMENSE,1.0
TAMAL VALLUNO,000037,TAMAL VALLUNO,1.0
TOSTADO X 30 GR,000010,TOSTADO - 4 Und,0.643
TOSTADO X 20 GR,000010,TOSTADO - 4 Und,0.643
AGUA 600 ML CON GAS,000041,AGUA 600 ml con gas,1.0
ANDINA REFAJO 310 ML,000137,AGUA CRISTAL 300ml,0.526
VASO,000048,TAPA VASO,0.615
SOPORTE,000044,SOPORTE,1.0
GELATINA UNI,000045,GELATINA UNI,1.0
HOJALDRA PQ,000121,H2O MARACUYA 250ml,0.414
HOJALDRA GR,000052,PAPAS - 35gr,0.476
MIEL,000116,MILO 9oz,0.5
CUCHARA DE LECHE,000049,CUCHARA DE LECHE,1.0
PLATANITOS,000050,PLATANITOS VERDES - 45gr,0.625
PLATANITOS X 2 UNI,000051,PLATANITOS VERDES PROMO X 2 UNI,0.735
PAPAS,000052,PAPAS - 35gr,0.667
AVENA X 10 ONZ,000061,AVENA HUILENSE 9oz,0.562
MIGAO,000199,MACCHIATO,0.571
ENVUELTO,000017,BUÑUELO,0.533
CHOCOLATE 9 ONZ,000056,CHOCOLATE DEL HUILA 9oz,0.684
CHOCOLATE 6 ONZ,000056,CHOCOLATE DEL HUILA 9oz,0.684
TINTO 9 OZ CART N,000194,MOCACCINO 9oz RAPPI,0.5
CAFE 9 OZ LECHE CART N,000165,CAFE CON LECHE 6 oz RAPPI,0.596
LLAVERO CUERO,000208,AVENESPRESSO TATACOA,0.485
SPEED LATA 269ML,000120,H2O LIMONATA 250ml,0.529
EMPANADA ARROZ,000062,EMPANADA DE POLLO Y ARROZ,0.718
TINTO 4OZ CARTON,000010,TOSTADO - 4 Und,0.483
CAF 8 OZ CARTON,000212,CAFÉ EN GRANO GESIHA 250gr,0.45
CAF 4OZ LECHE CARTON,000165,CAFE CON LECHE 6 oz RAPPI,0.578
CAF 8 OZ LECHE CARTON,000065,CAFÉ CAMPESINO CON LECHE 4oz ,0.583
ACHIRA UNI,000067,ACHIRA UNI ,1.0
TOSTADO GR UNI,000068,TOSTADO UNI,0.88
PLATO NAVIDE O PQ,000113,PLATO NAVIDEÑO PEQUEÑO,0.872
PONY MALTA 330ML,000070,PONY MALTA 330ml,1.0
PONY MALTA MINI,000071,PONY MALTA MINI 200ml,0.833
NATILLA PORCI N,000046,NATILLA PORCION,0.933
BOCADILLO,000204,MOCCACINO,0.556
EMPANADA DE QUESO,000062,EMPANADA DE POLLO Y ARROZ,0.619
PAN DE CUAJADA,000069,DULCE DE GUAYABA,0.533
AROM TICA,000076,AROMÁTICA ,1.0
NATILLA PLATO 16 ONZ,000077,NATILLA PLATO 16 onz,1.0
MANJAR BLANCO 250G,000078,MANJAR BLANCO 220gr,0.919
CORTADO 250G,000079,DULCE CORTADO 220gr,0.71
BREVA MANJAR UNI,000085,DULCE MANJAR MINI - 40gr,0.579
COLA CONDOR 450ML,000081,COLA CONDOR 335 ML,0.857
CHAMPUS 10 ONZ,000082,CHAMPUS 9 ONZ,0.889
MANJAR BLANCO 450G,000083,MANJAR BLANCO 450gr,0.973
