cod_producto,match_name,demanda_media,demanda_std,demanda_total,lead_time_dias,stock_seguridad,punto_reorden,demanda_proyectada_manana
000009,TOSTADO - 12 Und,0.1612903225806451,0.373878250552983,5.0,2,0.9,1.2,0.2
000010,TOSTADO - 4 Und,0.4838709677419355,1.7487322597038784,15.0,2,4.1,5.1,0.5
000012,PROMO QUESILLO 2X3,0.0,0.0,0.0,2,0.0,0.0,0.0
000017,BUÑUELO,0.0967741935483871,0.3962186862224293,3.0,2,0.9,1.1,0.1
000020,ARROZ CON LECHE 4oz,1.8387096774193548,3.347603861406427,57.0,2,7.8,11.5,1.8
000021,PROMO PANDEBONO 2x3,0.0,0.0,0.0,2,0.0,0.0,0.0
000022,MEDIO QUESILLO,0.5806451612903226,3.0525857186805543,18.0,2,7.1,8.3,0.6
000024,CUCA UNI,0.3225806451612903,0.791079295401481,10.0,2,1.8,2.4,0.3
000029,COCACOLA 250 ml,0.7741935483870968,1.2304383343441705,24.0,2,2.9,4.4,0.8
000031,PROMO QUESADILLA 3X2,0.0,0.0,0.0,2,0.0,0.0,0.0
000034,COCACOLA 400 ml,1.032258064516129,1.328755582433979,32.0,2,3.1,5.2,1.0
000036,TAMAL TOLIMENSE,3.741935483870968,3.054698478688023,116.0,2,7.1,14.6,3.7
000037,TAMAL VALLUNO,1.032258064516129,1.779210891898277,32.0,2,4.1,6.2,1.0
000041,AGUA 600 ml con gas,0.5483870967741935,0.8883959206502229,17.0,2,2.1,3.2,0.5
000044,SOPORTE,0.0,0.0,0.0,2,0.0,0.0,0.0
000045,GELATINA UNI,0.1612903225806451,0.373878250552983,5.0,2,0.9,1.2,0.2
000046,NATILLA PORCION,1.8064516129032255,6.640378276567832,56.0,2,15.4,19.0,1.8
000049,CUCHARA DE LECHE,0.0967741935483871,0.5388159060803248,3.0,2,1.3,1.5,0.1
000067,ACHIRA UNI ,0.2903225806451613,0.7828813612588127,9.0,2,1.8,2.4,0.3
000068,TOSTADO UNI,0.0967741935483871,0.3005371535187643,3.0,2,0.7,0.9,0.1
000070,PONY MALTA 330ml,0.0,0.0,0.0,2,0.0,0.0,0.0
000076,AROMÁTICA ,0.0,0.0,0.0,2,0.0,0.0,0.0
000077,NATILLA PLATO 16 onz,0.1290322580645161,0.5622535302317492,4.0,2,1.3,1.6,0.1
000078,MANJAR BLANCO 220gr,0.1612903225806451,0.4543694673976518,5.0,2,1.1,1.4,0.2
000081,COLA CONDOR 335 ML,0.0,0.0,0.0,2,0.0,0.0,0.0
000082,CHAMPUS 9 ONZ,0.0,0.0,0.0,2,0.0,0.0,0.0
000083,MANJAR BLANCO 450gr,0.3225806451612903,0.6525384675349823,10.0,2,1.5,2.1,0.3
000088,MANJAR BLANCO 120 gr,0.6129032258064516,1.333602123444588,19.0,2,3.1,4.3,0.6
000090,AGUA BRISA 280ml,0.5161290322580645,0.7243833120632328,16.0,2,1.7,2.7,0.5
000113,PLATO NAVIDEÑO PEQUEÑO,0.0,0.0,0.0,2,0.0,0.0,0.0
